Full Name,Date of Birth,Gender,Marital Status,Driver’s License Number,License State,Years of Driving Experience,Accidents in Last 5 Years,Violations in Last 5 Years,Claims in Last 5 Years,Vehicle Year,Vehicle Make,Vehicle Model,VIN,Vehicle Usage,Annual Mileage,Ownership Status,Primary Parking Location,Home Address,ZIP Code,Insurance Provider,Has Continuous Insurance,Current Liability Limits,Deductible Preference,Coverage Type,Wants Optional Coverage,Willing to Use Telematics,Additional Driver Count,Consent to MVR Check,Consent to Insurance Report,Policies Taken
Reginald Morrow,1967-04-03,Non-binary,Divorced,SwT5171339,TX,43,2,0,2,2019,Ford,Focus,1HGCM82633A0962923,Rideshare,9757,Financed,Garage,"783 Garcia Village, West Nancy, AZ 59448",27625,Farmers,True,50/300K,250,Liability Only,Roadside Assistance,True,1,True,True,"POL-1038, POL-1022"
Laura Patel,1958-01-01,Female,Widowed,jKO2325367,MI,52,1,0,0,2022,Toyota,Corolla,1HGCM82633A0466711,Business,11523,Leased,Driveway,"4494 Derek Terrace, Sellersview, VI 86470",53303,Progressive,False,50/300K,250,Liability Only,"Gap Coverage, Roadside Assistance",False,1,True,True,
Diana Mayer,1988-09-11,Non-binary,Married,OYD2975001,NC,50,1,3,2,2009,Mercedes-Benz,E-Class,1HGCM82633A0012770,Personal,18621,Owned,Driveway,"9017 Horn Underpass Suite 363, Adamsport, MA 72238",56573,State Farm,False,25/50K,500,Liability Only,"Gap Coverage, Rental Reimbursement",True,1,True,True,"POL-1037, POL-1007, POL-1021"
Michael Anderson,1996-12-18,Male,Divorced,eiL3611037,IL,40,0,1,2,2022,Chevrolet,Silverado,1HGCM82633A0387005,Rideshare,7526,Owned,Driveway,"1541 Beck Run, North Randy, ME 95657",16307,Liberty Mutual,False,100/50K,250,Liability Only,,False,2,True,True,POL-1002
Jennifer Anderson MD,1993-08-08,Non-binary,Single,RCn2753269,MI,32,2,2,1,2018,Chevrolet,Silverado,1HGCM82633A0112196,Personal,18184,Leased,Street,"55426 Darlene Springs, North Alyssa, AL 80496",46577,Allstate,False,25/300K,250,Liability Only,"Rental Reimbursement, Gap Coverage, Roadside Assistance",True,1,True,True,"POL-1022, POL-1047, POL-1009"
Emily Taylor,1976-01-11,Non-binary,Divorced,FOM4037613,PA,26,1,2,2,2015,Volkswagen,Jetta,1HGCM82633A0180552,Rideshare,6739,Financed,Garage,"89994 Melanie Shoals, Jamiehaven, ID 98522",51204,Progressive,True,50/100K,250,Liability Only,,True,1,True,True,"POL-1003, POL-1022"
Laura Diaz,1985-11-18,Male,Divorced,GnZ8924141,FL,37,2,1,0,2018,Kia,Sportage,1HGCM82633A0285691,Business,13433,Financed,Street,"09104 Bill Circle Suite 848, Hendersonfurt, CO 84457",41155,Allstate,False,25/50K,500,Full Coverage,Roadside Assistance,False,0,True,True,
Monica Mathis,1950-02-21,Non-binary,Widowed,xiV2758842,MI,19,0,0,1,2020,Toyota,Corolla,1HGCM82633A0410564,Personal,19458,Financed,Driveway,"1799 Kyle Streets, North Alexander, DC 92447",69163,Allstate,False,50/50K,500,Liability Only,Rental Reimbursement,False,0,True,True,"POL-1040, POL-1022, POL-1029"
Michael Ray,1981-06-21,Female,Single,oup5622086,NC,9,0,3,1,2019,Kia,Sportage,1HGCM82633A0654195,Business,14139,Financed,Garage,"507 Michael Glens Apt. 913, North Micheletown, IA 06527",16151,State Farm,False,100/50K,250,Liability Only,Gap Coverage,False,1,True,True,
Stephanie White,1999-09-12,Non-binary,Married,UIW9375973,MI,21,2,1,1,2009,Mercedes-Benz,E-Class,1HGCM82633A0320603,Rideshare,17113,Financed,Driveway,"1744 Miller Motorway, West Jamesshire, WY 40335",71482,Allstate,False,100/300K,500,Full Coverage,,False,1,True,True,"POL-1038, POL-1017"
Ryan Wiley,1998-11-09,Non-binary,Single,djT4138367,IL,39,3,2,2,2023,Honda,Accord,1HGCM82633A0410386,Rideshare,14463,Owned,Driveway,"USS Blake, FPO AA 97242",92362,Geico,False,25/300K,1000,Full Coverage,Gap Coverage,True,0,True,True,POL-1023
Judy Adkins,1997-01-19,Male,Widowed,iXX5574313,FL,21,3,1,1,2008,Volkswagen,Tiguan,1HGCM82633A0912127,Rideshare,8340,Financed,Driveway,"619 Ryan Curve, West Jose, MD 52006",61587,USAA,False,100/300K,250,Liability Only,Gap Coverage,False,2,True,True,
Bryan Howard,1952-09-12,Male,Widowed,VJp4420678,PA,35,2,2,2,2017,BMW,5 Series,1HGCM82633A0171210,Rideshare,16153,Leased,Driveway,"7411 Lindsey Hollow Apt. 352, Lake Johnstad, MO 67801",8584,Allstate,False,25/50K,500,Full Coverage,Rental Reimbursement,False,2,True,True,"POL-1048, POL-1003, POL-1013"
Vickie Anderson,1957-09-15,Female,Divorced,Fby0702966,PA,36,2,2,0,2020,Chevrolet,Silverado,1HGCM82633A0625324,Rideshare,16085,Leased,Street,"199 Lowery Club Apt. 137, North Rebecca, MP 43957",37182,Progressive,False,25/100K,250,Full Coverage,,False,1,True,True,POL-1008
Charles Mendez,2002-07-18,Male,Divorced,lbu7598564,FL,36,2,1,0,2020,Nissan,Sentra,1HGCM82633A0930407,Rideshare,17138,Leased,Garage,"6870 Joshua Dam Suite 383, South Kimberlystad, NJ 71872",69894,State Farm,True,100/300K,250,Liability Only,,True,1,True,True,"POL-1025, POL-1000"
Kevin Hall,1989-09-09,Non-binary,Married,jKm5590599,TX,1,1,3,2,2020,Hyundai,Sonata,1HGCM82633A0784270,Business,12822,Leased,Garage,"348 Kathryn Forges, Kellyburgh, HI 31506",12331,USAA,False,50/100K,1000,Liability Only,,True,2,True,True,"POL-1007, POL-1002, POL-1044"
Kyle Smith,1954-04-21,Male,Widowed,ikU5691545,NY,51,3,1,2,2018,Toyota,Camry,1HGCM82633A0675289,Business,19364,Owned,Garage,"325 Samantha Vista Suite 002, Port Daniel, NC 48327",47270,Allstate,True,50/100K,500,Full Coverage,Gap Coverage,False,1,True,True,
Kevin Thompson,1971-02-10,Non-binary,Widowed,pSe2157043,NY,42,2,1,0,2015,Chevrolet,Malibu,1HGCM82633A0541006,Rideshare,10523,Financed,Driveway,"20969 Ian Island Apt. 917, West Julie, IA 45958",57939,Farmers,True,25/300K,1000,Full Coverage,"Gap Coverage, Rental Reimbursement, Roadside Assistance",False,2,True,True,
Tracy Wilkerson,1974-12-02,Female,Married,ETb2181599,GA,1,2,3,0,2009,Honda,Civic,1HGCM82633A0629620,Business,17349,Financed,Street,"8617 Francisco Cliffs Apt. 405, Stephanieland, MA 22797",13773,Allstate,True,50/300K,500,Liability Only,,True,1,True,True,"POL-1010, POL-1031, POL-1005"
